Depth	breadth\Structural Virality
0	1	0.0000
0	1	0.0000
4	2	2.3810
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
15	7	8.0065
0	1	0.0000
8	6	4.1884
1	1	1.0000
4	3	2.3929
10	1	4.0000
11	4	5.1200
1	1	1.0000
0	1	0.0000
7	4	3.6536
1	1	1.0000
1	2	1.3333
6	2	3.1636
0	1	0.0000
0	1	0.0000
0	1	0.0000
6	2	2.7222
0	1	0.0000
1	1	1.0000
3	3	2.1905
2	3	2.0667
0	1	0.0000
1	1	1.0000
3	1	1.6667
3	2	2.0000
8	5	5.5737
3	2	2.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	2	1.3333
0	1	0.0000
1	1	1.0000
2	2	1.6667
0	1	0.0000
2	3	2.1905
0	1	0.0000
0	1	0.0000
1	1	1.0000
2	1	1.3333
0	1	0.0000
1	1	1.0000
4	4	3.2879
0	1	0.0000
10	2	4.3619
0	1	0.0000
0	1	0.0000
2	2	1.6667
15	20	8.7435
2	2	2.0000
2	2	1.5000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
7	5	5.1867
1	1	1.0000
1	1	1.0000
0	1	0.0000
6	3	2.7222
2	3	1.9333
8	2	3.4545
4	3	2.1905
0	1	0.0000
7	4	3.7143
0	1	0.0000
3	3	2.2143
3	4	2.9111
2	2	2.0000
1	1	1.0000
4	7	3.8476
0	1	0.0000
0	1	0.0000
4	3	2.5357
6	3	2.9091
4	3	2.8214
9	3	4.1333
0	1	0.0000
0	1	0.0000
15	11	11.1041
1	1	1.0000
14	11	8.3846
5	3	3.4182
0	1	0.0000
1	2	1.3333
5	3	3.0545
0	1	0.0000
1	1	1.0000
6	4	4.3595
0	1	0.0000
5	5	3.9346
4	2	2.3810
1	1	1.0000
0	1	0.0000
10	6	6.7576
9	8	4.3169
1	1	1.0000
2	1	1.3333
0	1	0.0000
1	1	1.0000
0	1	0.0000
3	1	1.6667
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
4	1	2.0000
0	1	0.0000
0	1	0.0000
2	2	1.6667
1	1	1.0000
1	1	1.0000
0	1	0.0000
2	1	1.3333
7	3	3.6000
0	1	0.0000
0	1	0.0000
0	1	0.0000
17	10	7.5953
7	3	3.9744
7	5	4.9474
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
1	1	1.0000
1	1	1.0000
6	3	3.1667
0	1	0.0000
2	1	1.3333
2	2	1.6667
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
3	3	2.3810
0	1	0.0000
8	2	3.6000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	2	2.0000
7	3	3.3956
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
2	1	1.3333
0	1	0.0000
1	1	1.0000
1	2	1.3333
1	1	1.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
5	2	2.9111
3	3	1.8667
0	1	0.0000
3	1	1.6667
3	2	1.8000
0	1	0.0000
6	3	3.7253
1	1	1.0000
4	2	2.1905
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
8	5	4.2372
0	1	0.0000
6	3	3.2727
0	1	0.0000
47	22	21.9584
0	1	0.0000
0	1	0.0000
5	2	2.8889
1	1	1.0000
4	2	2.1333
2	2	1.5000
1	1	1.0000
1	1	1.0000
16	3	7.3983
0	1	0.0000
6	2	3.4909
1	1	1.0000
5	2	2.3810
1	1	1.0000
0	1	0.0000
8	3	3.9150
0	1	0.0000
0	1	0.0000
5	4	3.0545
2	1	1.3333
4	2	2.6667
0	1	0.0000
2	1	1.3333
1	1	1.0000
0	1	0.0000
2	2	1.8000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
2	3	2.0667
5	2	2.7222
4	6	3.3500
0	1	0.0000
0	1	0.0000
5	2	2.4762
3	1	1.6667
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
15	10	7.8408
1	1	1.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
5	2	2.3810
0	1	0.0000
0	1	0.0000
5	5	3.1758
7	6	5.7159
5	4	3.1795
2	2	1.6667
0	1	0.0000
6	2	2.8889
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	2	1.3333
1	1	1.0000
0	1	0.0000
13	3	5.6105
0	1	0.0000
3	1	1.6667
2	2	1.6667
1	2	1.3333
8	2	3.5636
2	1	1.3333
7	2	3.9697
0	1	0.0000
26	7	11.2418
3	2	2.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
39	10	17.2511
0	1	0.0000
2	2	1.8000
0	1	0.0000
0	1	0.0000
0	1	0.0000
14	7	8.3734
3	1	1.6667
0	1	0.0000
1	1	1.0000
0	1	0.0000
1	1	1.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
4	2	2.0667
0	1	0.0000
6	2	2.7143
19	8	7.9211
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
4	2	2.5357
5	5	3.9298
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	2	1.3333
0	1	0.0000
3	3	2.5000
0	1	0.0000
15	5	7.3711
0	1	0.0000
6	2	2.7143
16	7	7.3599
2	1	1.3333
18	8	8.3834
1	1	1.0000
0	1	0.0000
3	1	1.6667
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
2	1	1.3333
1	1	1.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
6	2	3.0545
13	8	7.6140
0	1	0.0000
1	1	1.0000
1	1	1.0000
0	1	0.0000
21	10	8.5327
1	1	1.0000
0	1	0.0000
1	2	1.3333
2	1	1.3333
2	1	1.3333
0	1	0.0000
1	1	1.0000
3	1	1.6667
0	1	0.0000
0	1	0.0000
2	2	1.6667
0	1	0.0000
2	2	1.5000
0	1	0.0000
0	1	0.0000
1	1	1.0000
5	2	2.4762
18	7	9.8685
0	1	0.0000
5	3	2.9818
8	5	5.8405
0	1	0.0000
2	1	1.3333
0	1	0.0000
4	3	2.6444
4	7	3.6324
0	1	0.0000
2	1	1.3333
1	3	1.5000
1	1	1.0000
3	1	1.6667
0	1	0.0000
0	1	0.0000
11	5	5.2934
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	2	2.0667
0	1	0.0000
1	1	1.0000
0	1	0.0000
2	2	1.6667
0	1	0.0000
0	1	0.0000
21	10	11.5667
4	2	2.3810
0	1	0.0000
10	6	5.2154
1	2	1.3333
0	1	0.0000
0	1	0.0000
3	3	2.1905
7	5	5.2365
18	9	10.8510
8	3	3.9368
4	2	2.2857
4	1	2.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
11	3	4.4912
9	4	3.9105
0	1	0.0000
1	1	1.0000
1	1	1.0000
1	1	1.0000
1	1	1.0000
24	9	14.3430
10	6	6.0181
4	3	2.6786
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	2	2.0667
12	3	5.9886
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
7	7	4.3794
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
5	1	2.3333
2	2	1.6667
1	1	1.0000
1	2	1.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
11	7	4.8946
7	5	4.5333
23	18	13.1310
3	3	2.3810
0	1	0.0000
0	1	0.0000
12	3	4.9526
3	2	1.8000
0	1	0.0000
1	2	1.3333
2	1	1.3333
1	1	1.0000
0	1	0.0000
4	5	2.8939
9	9	6.4149
0	1	0.0000
0	1	0.0000
7	5	3.3524
0	1	0.0000
0	1	0.0000
1	2	1.3333
1	1	1.0000
10	9	7.8214
0	1	0.0000
0	1	0.0000
0	1	0.0000
22	11	11.0067
4	3	2.8364
5	4	2.7111
2	1	1.3333
1	1	1.0000
5	4	3.6250
6	2	3.3333
0	1	0.0000
18	15	8.9706
0	1	0.0000
0	1	0.0000
1	1	1.0000
